text,scarcity,social_proof,urgency,authority


Only 3 seats remaining in this batch for a maths tutorial,1,0,1,0
Join 3-star satisfied learners today,0,1,0,0
Offer ends tonight at 11:59 PM,0,0,1,0
offer starts earlier for prime member at 24 hrs before,0,1,0,1
Recommended by industry research proff,0,0,0,1
Limited stock available hurry up,1,0,1,0
Used by leading companies worldwide,0,1,0,1
Last chance to grab this opportunity,1,0,1,0
Trusted by thousands of happy customers,0,1,0,0
Enroll now before registration closes,1,0,1,0
Backed by certified financial experts,0,0,0,1
buy more save more offer only for today,1,1,1,1.
